company,employment-2022,employment-2024,revenue-2024,revenue-2022,unit,adopted-ai,sector,link
PM,79800,83100,37878,31762,mioUSD,1,tobacco,https://stockanalysis.com/stocks/pm/
JP,52640,53593,20135,21000,mioUSD,1,tobacco,https://stockanalysis.com/quote/tyo/2914/
BTI,77951,74617,25867,27655,mioGBP,0,tobacco,https://stockanalysis.com/stocks/bti/financials/
IMB,25700,25600,18486,16907,mioGBP,0,tobacco,https://stockanalysis.com/quote/lon/IMB/financials/
BLK,19800,19800,20407,17873,mioUSD,1,investment,https://stockanalysis.com/stocks/blk/financials/
MS,80000,82000,61500,53390,mioUSD,1,investment,https://stockanalysis.com/stocks/ms/financials/
STT,42000,53000,12925,12128,mioUSD,0,investment,https://stockanalysis.com/stocks/stt/financials/    
IVZ,8500,8500,6000,6000,mioUSD,0,investment,https://stockanalysis.com/stocks/ivz/employees/
TROW,7900,8100,7100,6500,mioUSD,0,investment,https://stockanalysis.com/stocks/trow/financials/
CG,2100,2300,4740,4117,mioUSD,1,investment,https://stockanalysis.com/stocks/cg/financials/
UV,10800,11250,2750,2104,mioUSD,0,tobacco,https://stockanalysis.com/stocks/uvv/financials/

