company,employment-2022,employment-2024,revenue-2024,revenue-2022,unit,adopted-ai,link
AAL,129700,133300,54.21,48.97,USD,0,https://stockanalysis.com/stocks/aal/
DAL,95000,100000,61.64,50.58,USD,0,https://stockanalysis.com/stocks/dal/
UAL,92795,107300,57.06,44.96,USD,0,https://stockanalysis.com/stocks/ual/
LUV,66656,72450,27.48,23.81,USD,0,https://stockanalysis.com/stocks/luv/
CCL,85200,115000,25.02,12.17,USD,0,https://stockanalysis.com/stocks/ccl/
NCLH,38900,41700,9.48,4.84,USD,0,https://stockanalysis.com/stocks/nclh/
MAR,377000,418000,6.62,5.36,USD,0,https://stockanalysis.com/stocks/mar/
HLT,159000,181000,4.75,3.74,USD,0,https://stockanalysis.com/stocks/hlt/
BKNG,21600,24300,23.74,17.09,USD,0,https://stockanalysis.com/stocks/bkng/
EXPE,16500,16500,13.69,11.67,USD,1,https://stockanalysis.com/stocks/expe/
ABNB,6811,7300,11.10,8.40,USD,0,https://stockanalysis.com/stocks/abnb/
TUI,61091,66845,23.17,16.54,EUR,0,https://stockanalysis.com/quote/bit/1TUI1U/
UAL,92795,107300,57.06,44.96,USD,0,https://stockanalysis.com/stocks/ual/
